UKPRN,providerName,Region,subject,sex,yearsAfterGraduation,grads,unmatched,matched,activityNotCaptured,noSustDest,sustEmpOnly,sustEmp,sustEmpFSorBoth,earningsInclude,lowerAnnEarn,medianAnnEarn,upperAnnEarn,POLARGrpOne,POLARGrpOneIncluded,prAttBand,prAttIncluded
10000291,Anglia Ruskin University,East,Agriculture & related subjects,Female,1,30,x,x,x,x,x,x,x,20,9300,14400,19500,x,x,x,x
10007759,Aston University,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000571,Bath Spa University,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007850,The University of Bath,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007152,University of Bedfordshire,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007760,Birkbeck College,London,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007140,Birmingham City University,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006840,The University of Birmingham,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000712,University College Birmingham,West Midlands,Agriculture & related subjects,Female,1,35,0,35,x,x,x,x,83.8,20,17300,18700,20600,x,x,2,75.7
10007811,Bishop Grosseteste University,East Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006841,The University of Bolton,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000385,The Arts University Bournemouth,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000824,Bournemouth University,South West,Agriculture & related subjects,Female,1,20,x,x,x,x,x,x,x,20,10200,13300,15200,x,x,x,x
10007785,The University of Bradford,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000886,The University of Brighton,South East,Agriculture & related subjects,Female,1,15,0,15,x,x,x,x,70.6,x,x,x,x,x,x,2,29.4
10007786,The University of Bristol,South West,Agriculture & related subjects,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000961,Brunel University London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000975,Buckinghamshire New University,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007787,The University of Buckingham,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007788,The University of Cambridge,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003324,The Institute of Cancer Research,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001143,Canterbury Christ Church University,South East,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007141,The University of Central Lancashire,North West,Agriculture & related subjects,Female,1,60,0,60,x,x,x,x,85,40,10300,14600,18700,x,x,2,36.7
10007848,University of Chester,North West,Agriculture & related subjects,Female,1,60,2.7,60,x,x,x,x,76.3,40,10100,12300,14500,x,x,2,42.8
10007137,The University of Chichester,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001478,The City University,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001653,Conservatoire for Dance and Drama,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007761,Courtauld Institute of Art,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001726,Coventry University,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007822,Cranfield University,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006427,University for the Creative Arts,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007842,University of Cumbria,North West,Agriculture & related subjects,Female,1,25,0,25,x,x,x,x,89.8,15,8800,10600,13800,x,x,2,40.8
10001883,De Montfort University,East Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007851,University of Derby,East Midlands,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007143,University of Durham,North East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007789,The University of East Anglia,East,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007144,The University of East London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007823,Edge Hill University,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007791,The University of Essex,East,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007792,The University of Exeter,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10008640,Falmouth University,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004511,The National Film and Television School,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007145,University of Gloucestershire,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10002718,Goldsmiths College,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007146,The University of Greenwich,London,Agriculture & related subjects,Female,1,60,0,60,6.7,16.7,x,x,76.7,35,12000,14600,17300,13.3,50,3,23.3
10007825,Guildhall School of Music and Drama,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10040812,Harper Adams University,West Midlands,Agriculture & related subjects,Female,1,150,0.7,145,3.4,6.8,76.9,86.4,89.8,110,14500,19200,22500,5.8,81.6,2,57.1
10007147,University of Hertfordshire,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007765,Heythrop College,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007148,The University of Huddersfield,Yorkshire and the Humber,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007149,The University of Hull,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003270,Imperial College of Science Technology and Medicine,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007767,The University of Keele,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007150,The University of Kent,South East,Agriculture & related subjects,Female,1,20,x,x,x,x,x,x,x,15,11200,16800,21400,x,x,x,x
10003645,King's College London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003678,Kingston University,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007768,The University of Lancaster,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003854,Leeds College of Art,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003861,Leeds Beckett University,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007795,The University of Leeds,Yorkshire and the Humber,Agriculture & related subjects,Female,1,25,x,x,x,x,x,x,x,15,19500,24700,25900,x,x,x,x
10003863,Leeds Trinity University,Yorkshire and the Humber,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007796,The University of Leicester,East Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007151,The University of Lincoln,East Midlands,Agriculture & related subjects,Female,1,85,0,85,x,x,x,x,88.1,65,10600,15400,20300,x,x,2,47.6
10003956,Liverpool Hope University,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003957,Liverpool John Moores University,North West,Agriculture & related subjects,Female,1,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10003945,The Liverpool Institute for Performing Arts,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006842,The University of Liverpool,North West,Agriculture & related subjects,Female,1,25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007162,University of the Arts London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007769,London Business School,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007797,University of London (Institutes and activities),London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004048,London Metropolitan University,London,Agriculture & related subjects,Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10004078,London South Bank University,London,Agriculture & related subjects,Female,1,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10004063,London School of Economics and Political Science,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007771,London School of Hygiene and Tropical Medicine,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004113,Loughborough University,East Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004180,The Manchester Metropolitan University,North West,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007798,The University of Manchester,North West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004351,Middlesex University,London,Agriculture & related subjects,Female,1,25,x,x,x,x,x,x,x,15,17500,18900,22700,x,x,x,x
10007799,University of Newcastle-upon-Tyne,North East,Agriculture & related subjects,Female,1,25,0,25,x,x,x,x,82.6,15,14000,16200,22100,x,x,1,82.6
10007832,Newman University,West Midlands,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007138,The University of Northampton,East Midlands,Agriculture & related subjects,Female,1,20,x,x,x,x,x,x,x,15,14700,16700,18000,x,x,x,x
10001282,University of Northumbria at Newcastle,North East,Agriculture & related subjects,Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10004775,Norwich University of the Arts,East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007154,University of Nottingham,East Midlands,Agriculture & related subjects,Female,1,35,0,35,x,x,x,x,86.7,15,18200,19200,22500,x,x,1,82.9
10004797,The Nottingham Trent University,East Midlands,Agriculture & related subjects,Female,1,125,0,125,11.2,8.8,x,x,80,75,10000,13800,17400,15.1,74.4,2,52
10007773,The Open University in England16,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004930,Oxford Brookes University,South East,Agriculture & related subjects,Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007774,The University of Oxford,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005127,Plymouth College of Art,South West,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007801,University of Plymouth,South West,Agriculture & related subjects,Female,1,35,x,x,x,x,x,x,x,20,12000,13800,15100,x,x,x,x
10007155,The University of Portsmouth,South East,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007775,Queen Mary University of London,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005389,Ravensbourne,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007802,The University of Reading,South East,Agriculture & related subjects,Female,1,45,0,45,x,x,x,x,77.2,30,16500,20000,23900,x,x,1,71.7
10007776,Roehampton University,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005523,Rose Bruford College,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007835,Royal Academy of Music,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005545,Royal Agricultural University,South West,Agriculture & related subjects,Female,1,65,0,65,x,x,x,x,80.4,35,11300,17600,20300,x,x,2,61.3
10007777,Royal College of Art,London,Agriculture & related subjects,Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
