date,PCECC96,GCEC1,GPDIC1,EXPGSC1_IMPGSC1,GDPt_1,GDP_CH,GDP_D,PCECC96_CH,GCEC1_CH,GPDIC1_CH,EXPGSC1_IMPGSC1_CH
01/01/48,1229.757,488.594,262.632,13.422,2021.851,,,,,, 
01/04/48,1244.06,504.966,278.885,4.346,2033.155,0.006997563,2003.505721,0.005022023,0.014314008,0.026077515,-0.489727512
01/07/48,1245.894,515.048,281.741,2.695,2035.329,0.002421342,2026.752524,0.000639768,0.008585568,0.004424896,-0.207530952
01/10/48,1255.835,533.794,268.267,1.377,2007.522,0.000464132,2034.098871,0.003451488,0.015525983,-0.021282799,-0.291624829
01/01/49,1257.87,548.58,228.041,11.006,2000.788,-0.005974307,2023.20557,0.000703177,0.011866282,-0.070554316,0.902695568
01/04/49,1277.136,572.489,197.725,11.282,2022.798,-0.001459239,2004.594681,0.006601388,0.018527176,-0.061951353,0.010756587
01/07/49,1280.03,577.631,214.117,7.754,2004.653,0.004751442,2010.317248,0.000983001,0.003883346,0.034589566,-0.162860299
01/10/49,1298.778,565.759,203.585,-1.948,2084.559,-0.003913307,2014.897638,0.006314775,-0.009019021,-0.021905374,0
01/01/50,1320.391,557.123,251.917,-4.531,2147.592,0.016974983,2038.972413,0.007167632,-0.006680383,0.092511699,0.36660511
01/04/50,1342.114,566.567,278.877,-7.194,2230.362,0.012937586,2111.703374,0.007086851,0.007300187,0.044155222,0.200776371
01/07/50,1410.954,557.315,302.85,-20.661,2273.435,0.01642358,2183.15438,0.021723448,-0.007150543,0.03581488,0.458180904
01/10/50,1368.416,597.213,341.332,-16.1,2304.542,0.008307185,2248.9672,-0.013294712,0.030028521,0.051949427,-0.108325462
01/01/51,1401.484,660.893,306.454,-12.965,2344.517,0.005902086,2286.892683,0.010370001,0.044001899,-0.046811711,-0.094053355
01/04/51,1361.885,748.837,313.558,-3.86,2392.808,0.007468759,2321.818505,-0.012447707,0.054256143,0.009952591,-0.526185216
01/07/51,1377.727,830.933,290.47,4.382,2398.105,0.008854466,2365.368625,0.005022733,0.045178712,-0.033216601,0
01/10/51,1385.761,874.767,267.326,5.513,2423.457,0.000960343,2395.107019,0.002525165,0.022326384,-0.036060085,0.099715619
01/01/52,1388.853,900.516,274.301,1.535,2428.516,0.004567124,2409.082491,0.000967947,0.012599042,0.011186191,-0.555279613
01/04/52,1416.125,930.716,253.621,-6.586,2446.081,0.000905651,2425.6528,0.008445309,0.014325746,-0.03404218,0
01/07/52,1423.01,940.03,267.217,-16.65,2526.359,0.003129865,2436.128835,0.002106362,0.004324534,0.022678873,0.402792511
01/10/52,1473.263,955.574,286.467,-23.4,2573.372,0.01402423,2480.627078,0.01507233,0.007122611,0.030210516,0.14780162
